"Month","CILow","ModelSeropos","CIHigh","Month_num","Month_date"
"0",0.00096304578277853,0.0304687198043203,0.108788705091502,0,2019-11-01
"1",0.00263199678037436,0.0419962641235613,0.131388791402017,1,2019-12-01
"2",0.00686355990930189,0.0877806765883371,0.257720749825662,2,2020-01-01
"3",0.0557265702870259,0.265809116974244,0.547273240372178,3,2020-02-01
"4",0.0119552325584334,0.100151836418191,0.238356265319161,4,2020-03-01
"5",0.0186428476300108,0.135866478849311,0.315048494095468,5,2020-04-01
"6",1.0036878089321,1.4711201958703,2.11073417945041,6,2020-05-01
"7",1.52158227630868,2.08420718997051,2.92533523318373,7,2020-06-01
"8",1.70359660858396,2.30726059225922,3.18682330821199,8,2020-07-01
"9",1.43539978250465,1.98248938209057,2.76875487405445,9,2020-08-01
"10",1.20600756500858,1.66821599401913,2.32810329482382,10,2020-09-01
"11",1.29036259507972,1.8336373064932,2.62324769808262,11,2020-10-01
"12",1.79866187927289,2.43156940130005,3.36665127429641,12,2020-11-01
"13",1.55484378194053,2.15112947590549,2.99062821513394,13,2020-12-01
